,mean_expression,variance,cv,samples_expressed,max_expression,detection_rate
ENSG00000239291,3.0714285714285716,8.225274725274726,0.9337589657914057,0,9.0,0.56
ENSG00000239323,32.142857142857146,434.6285714285715,0.6485965854076343,20,80.0,0.84
ENSG00000239345,4.125,13.183333333333334,0.8802147920323159,2,12.0,0.64
ENSG00000239407,5.25,4.214285714285714,0.3910233424715178,0,10.0,0.32
ENSG00000239413,1.25,0.5,0.5656854204237547,0,3.0,0.32
ENSG00000239465,3.25,5.840909090909091,0.7436299299109818,0,8.0,0.48
ENSG00000239528,4.333333333333333,6.666666666666667,0.5958435903491943,0,9.0,0.24
ENSG00000239532,1.0,0.0,0.0,0,1.0,0.12
ENSG00000239590,2.0,,,0,2.0,0.04
ENSG00000239600,1.0,0.0,0.0,0,1.0,0.16
ENSG00000239636,9.363636363636363,53.65454545454545,0.7822736828123095,3,27.0,0.44
ENSG00000239719,3.761904761904762,4.190476190476192,0.5441565874194492,0,8.0,0.84
ENSG00000239797,2.4,7.599999999999998,1.1486707245547236,0,10.0,0.4
ENSG00000239801,4.0,0.0,0.0,0,4.0,0.08
ENSG00000239809,1.0,0.0,0.0,0,1.0,0.28
ENSG00000239835,6.857142857142857,25.47619047619047,0.7360783524953777,1,15.0,0.28
ENSG00000239880,1.5,0.5,0.47140451764833496,0,2.0,0.08
ENSG00000239911,23.304347826086957,269.49407114624506,0.7044296925750306,18,65.0,0.92
ENSG00000239917,2.4444444444444446,5.777777777777778,0.983332162012911,0,7.0,0.36
ENSG00000239948,5.5,9.5,0.5604012719782683,0,10.0,0.24
ENSG00000239959,6.5,4.5,0.326356975430165,0,8.0,0.08
ENSG00000240003,2.0,2.0,0.7071067776510137,0,4.0,0.16
ENSG00000240083,1.6923076923076923,0.5641025641025641,0.44381267967676785,0,3.0,0.52
ENSG00000240096,1.0,0.0,0.0,0,1.0,0.12
ENSG00000240122,1.0,0.0,0.0,0,1.0,0.08
ENSG00000240125,1.5,0.5714285714285714,0.5039526273192855,0,3.0,0.32
ENSG00000240132,2.0,2.0,0.7071067776510137,0,5.0,0.32
ENSG00000240137,5.222222222222222,9.694444444444443,0.5962194145690289,1,13.0,0.36
ENSG00000240143,7.583333333333333,28.810606060606062,0.7078089506789396,3,22.0,0.48
ENSG00000240236,1.9166666666666667,1.901515151515152,0.7194544495867329,0,4.0,0.48
ENSG00000240254,7.0,,,0,7.0,0.04
ENSG00000240270,1.1666666666666667,0.16666666666666669,0.3499271031125074,0,2.0,0.24
ENSG00000240370,8.181818181818182,28.563636363636363,0.653216164054188,3,17.0,0.44
ENSG00000240371,3.8666666666666667,9.123809523809525,0.7811804560702797,0,10.0,0.6
ENSG00000240375,7.470588235294118,37.88970588235294,0.82395940798116,4,20.0,0.68
ENSG00000240392,3.95,5.418421052631579,0.5893038498194726,0,10.0,0.8
ENSG00000240477,4.923076923076923,5.0769230769230775,0.45768182769148413,0,9.0,0.52
ENSG00000240509,30.90909090909091,242.46753246753246,0.5037795850619124,20,65.0,0.88
ENSG00000240522,8.1,46.54444444444445,0.8422652946331773,3,23.0,0.4
ENSG00000240531,4.416666666666667,30.81060606060606,1.2567691053110088,2,19.0,0.48
ENSG00000240583,4.8,0.7,0.1743041718314654,0,6.0,0.2
ENSG00000240591,8.0,72.0,1.060660170453996,1,14.0,0.08
ENSG00000240634,3.909090909090909,8.290909090909091,0.7365891290860894,0,8.0,0.44
ENSG00000240694,10.153846153846153,88.8076923076923,0.9280998727924082,3,36.0,0.52
ENSG00000240729,2.375,5.696428571428571,1.0049343985719226,0,8.0,0.32
ENSG00000240738,1.6666666666666667,1.1515151515151516,0.6438520401232796,0,4.0,0.48
ENSG00000240747,4.666666666666667,0.33333333333333337,0.12371791456123857,0,5.0,0.12
ENSG00000240759,1.5384615384615385,0.7692307692307692,0.5700877088439988,0,3.0,0.52
ENSG00000240771,4.333333333333333,4.25,0.4757429557041694,0,9.0,0.36
ENSG00000240785,2.857142857142857,3.5285714285714285,0.6574572206419593,0,7.0,0.84
ENSG00000240854,14.714285714285714,159.3142857142857,0.8578042139707751,11,51.0,0.84
ENSG00000240882,2.0,2.0,0.7071067776510137,0,4.0,0.16
ENSG00000240898,3.0,7.555555555555555,0.9162456915275501,0,10.0,0.76
ENSG00000240905,4.428571428571429,8.285714285714286,0.6499819881971337,0,8.0,0.28
ENSG00000240914,16.714285714285715,69.41428571428573,0.49846722441228347,15,32.0,0.84
ENSG00000240919,1.5714285714285714,1.1868131868131873,0.6932606239180609,0,4.0,0.56
ENSG00000240954,1.1428571428571428,0.1428571428571429,0.33071891098928347,0,2.0,0.28
ENSG00000241007,20.476190476190474,252.36190476190478,0.7758231549956832,16,64.0,0.84
ENSG00000241008,1.0,0.0,0.0,0,1.0,0.08
ENSG00000241081,1.9,2.766666666666666,0.8754368339801324,0,6.0,0.4
ENSG00000241095,8.0625,61.12916666666667,0.9697382129530604,5,25.0,0.64
ENSG00000241129,4.833333333333333,5.766666666666667,0.4968389963328263,0,7.0,0.24
ENSG00000241255,7.904761904761905,17.590476190476195,0.5305789358109865,7,16.0,0.84
ENSG00000241352,3.857142857142857,5.928571428571429,0.6312615001804076,0,10.0,0.84
ENSG00000241370,9.75,97.53333333333333,1.0129124690914413,4,42.0,0.64
ENSG00000241404,9.1875,48.42916666666667,0.7574537943804974,6,27.0,0.64
ENSG00000241411,3.1,17.87777777777778,1.3639393909057076,1,15.0,0.4
ENSG00000241429,5.3125,13.029166666666667,0.6794529301620746,3,12.0,0.64
ENSG00000241449,4.0,,,0,4.0,0.04
ENSG00000241478,3.6818181818181817,6.512987012987013,0.6931508607138166,0,9.0,0.88
ENSG00000241506,6.55,26.26052631578947,0.7823667993019349,3,23.0,0.8
ENSG00000241547,4.428571428571429,15.557142857142855,0.890638090750962,3,14.0,0.84
ENSG00000241563,6.5,0.5,0.1087856584767217,0,7.0,0.08
ENSG00000241571,3.3333333333333335,2.4999999999999996,0.4743416476022319,0,6.0,0.36
ENSG00000241668,1.0,0.0,0.0,0,1.0,0.12
ENSG00000241678,8.666666666666666,16.333333333333332,0.4663213707304808,2,11.0,0.12
ENSG00000241746,14.681818181818182,47.46536796536798,0.4692546492571084,16,26.0,0.88
ENSG00000241764,7.416666666666667,15.719696969696969,0.5345807595705152,3,15.0,0.48
ENSG00000241832,4.0,,,0,4.0,0.04
ENSG00000241886,7.8,18.399999999999995,0.5499387323597507,3,16.0,0.4
ENSG00000241923,5.913043478260869,16.8102766798419,0.6933880580186952,3,17.0,0.92
ENSG00000241945,9.272727272727273,116.01731601731602,1.1615928228858967,8,46.0,0.88
ENSG00000241985,1.0,,,0,1.0,0.04
